"CID","Pincode","CityName/AreaName","State","Latitude","Longitude"
"5859","761123","Gangapur","Orisa","19.778675079345703","84.608383178710940"
"5860","761124","Gobara","Orisa","19.831577301025390","84.579399108886720"
"5861","761125","Badakodanda","Orisa","19.927106857299805","84.570297241210940"
"5862","761141","Galleri","Orisa","19.849063873291016","84.727340698242190"
"5863","761211","Upalada","Orisa","18.815437316894530","84.149185180664060"
"5864","761212","Narayanpur","Orisa","18.930374145507812","84.307136535644530"
"5865","761214","Nuagada","Orisa","19.098901748657227","84.049194335937500"
"5866","761215","Garabandha","Orisa","18.873928070068360","84.296104431152340"
"5867","761217","Odaba","Orisa","19.476152420043945","84.101814270019530"
"5868","762001","Penjisahi","Orisa","20.483858108520508","84.227272033691400"
"5869","762010","Tikkabali","Orisa","20.207000732421875","84.304153442382810"
"5870","762011","Phiringia","Orisa","20.359315872192383","84.118957519531250"
"5871","762014","Malisahi","Orisa","20.840049743652344","84.321479797363280"
"5872","762016","Manmunda","Orisa","20.827236175537110","83.919471740722660"
"5873","762017","Kantamal","Orisa","20.652526855468750","83.750053405761720"
"5874","762021","Harbhanga","Orisa","20.002269744873047","83.943855285644530"
"5875","762022","Kalinga","Orisa","20.163545608520508","84.409660339355470"
"5876","762028","Chakapada","Orisa","20.279384613037110","84.462593078613280"
"5877","762101","Raikia","Orisa","20.048393249511720","84.227569580078120"
"5878","762104","Daringabadi","Orisa","19.933027267456055","84.105560302734380"
"5879","762106","Sarangada","Orisa","20.216329574584960","84.159416198730470"
"5880","762107","Tumribandh","Orisa","19.877927780151367","83.588356018066400"
"5881","762112","Paburia","Orisa","20.166919708251953","84.255310058593750"
"5882","764001","Jeypore (K) Civil Court","Orisa","18.861488342285156","82.572784423828120"
"5883","764002","Jeypore (K) R S","Orisa","18.924688339233400","82.407249450683600"
"5884","764003","Jeypore (K)3","Orisa","18.842611312866210","82.575698852539060"
"5885","764004","Jeypore (K) Irrigation","Orisa","18.862108230590820","82.572486877441400"
"5886","764005","Jayanagar (Jaypore 5)","Orisa","18.825695037841797","82.468399047851560"
"5887","764037","Nandapur","Orisa","18.563207626342773","82.737617492675780"
"5888","764045","Malkangiri","Orisa","18.390001296997070","81.900024414062500"
"5889","764046","Panchabati","Orisa","18.432004928588867","82.207183837890620"
"5890","764047","Kalimela","Orisa","18.178081512451172","81.764823913574220"
"5891","764048","Malkangiri Colony","Orisa","18.331205368041992","81.872825622558600"
"5892","764049","Lachipeta","Orisa","19.321992874145508","82.681373596191400"
"5893","764051","Balimela","Orisa","18.252252578735350","82.028343200683600"
"5894","764052","Chitrakonda","Orisa","18.909170150756836","83.647407531738280"
"5895","764055","Ambaguda","Orisa","18.980863571166992","82.515586853027340"
"5896","764059","Nowrangpur Bazar","Orisa","19.230621337890625","82.557327270507810"
"5897","764070","Tentulikhunti","Orisa","19.296724319458008","82.718872070312500"
"5898","764071","Papadahandi","Orisa","19.382200241088867","82.537391662597660"
"5899","764072","Dabugaon","Orisa","19.500135421752930","82.364097595214840"
"5900","764073","Umerkota","Orisa","19.676443099975586","82.207511901855470"
"5901","764074","Raighar","Orisa","19.941616058349610","82.013122558593750"
"5902","764077","Chandahandi","Orisa","19.850921630859375","82.477699279785160"
"5903","764078","Danganerbheja","Orisa","19.234373092651367","82.663108825683600"
"5904","764081","Lamptaput","Orisa","18.609485626220703","82.597091674804690"
"5905","765001","Gandhi Nagar","Orisa","19.162439346313477","83.438240051269530"
"5906","765013","Lakhmipur","Orisa","18.929502487182617","82.988792419433600"
"5907","765016","Kalyansinghpur","Orisa","19.509689331054688","83.311103820800780"
"5908","765017","Jaykaypur Bazar","Orisa","19.256811141967773","83.531532287597660"
"5909","765024","Ukkamba","Orisa","19.212480545043945","83.675651550292970"
"5910","765028","Dasmanthupur","Orisa","19.045068740844727","82.921203613281250"
"5911","765029","Ramanaguda","Orisa","19.166364669799805","83.793960571289060"
"5912","766001","Bahadurbagichapara","Orisa","19.919118881225586","83.160835266113280"
"5913","766011","Utkela","Orisa","20.088306427001953","83.122154235839840"
"5914","766012","Jagannathpara","Orisa","20.199291229248047","83.243232727050780"
"5915","766013","Kalampur","Orisa","19.604152679443360","82.871749877929690"
"5916","766015","Dharamgarh","Orisa","19.871055603027344","82.792877197265620"
"5917","766016","Deobhog","Orisa","19.926959991455078","82.743141174316400"
"5918","766017","Charbahal","Orisa","19.676883697509766","82.803596496582030"
"5919","766018","Jaipatna","Orisa","19.491903305053710","82.809440612792970"
"5920","766021","Pastikudi","Orisa","20.013059616088867","83.179161071777340"
"5921","766023","Mahichala","Orisa","19.736089706420900","82.880165100097660"
"5922","766027","Lanjigarh","Orisa","19.709114074707030","83.365676879882810"
"5923","766028","Ampani","Orisa","19.591278076171875","82.627685546875000"
"5924","766103","Parla","Orisa","19.801410675048828","82.701156616210940"
"5925","766105","Nawapara Tanwat","Orisa","20.807641983032227","82.549858093261720"
"5926","766110","Narla Road","Orisa","19.945600509643555","83.402267456054690"
"5927","766112","Kandel Road","Orisa","20.198255538940430","83.520927429199220"
"5928","767001","Balangir H O","Orisa","20.704212188720703","83.487121582031250"
"5929","767002","Rajendra College (Balan2)","Orisa","20.614637374877930","83.554763793945310"
"5930","767016","Tarbha Bazar","Orisa","20.774967193603516","83.672676086425780"
"5931","767017","Ghodaghat Para","Orisa","20.846544265747070","83.889205932617190"
"5932","767020","Loisinga","Orisa","20.864704132080078","83.440521240234380"
"5933","767021","Salebhata","Orisa","20.916959762573242","83.541252136230470"
"5934","767022","Agalpur","Orisa","21.007635116577150","83.408821105957030"
"5935","767024","Churapalli","Orisa","20.711822509765625","83.382881164550780"
"5936","767025","Patnagarh","Orisa","20.642753601074220","83.287994384765620"
"5937","767029","Deogaon","Orisa","20.583745956420900","83.398292541503900"
"5938","767032","Saintala","Orisa","20.394006729125977","83.363044738769530"
"5939","767033","Titilagarh Court","Orisa","20.289505004882812","83.153312683105470"
"5940","767039","Kantabanji","Orisa","20.468614578247070","82.916442871093750"
"5941","767043","Turekella","Orisa","20.504917144775390","82.799560546875000"
"5942","767062","Sabulia (Balangir)","Orisa","20.964094161987305","83.882438659667970"
"5943","767065","Chandanbhati","Orisa","20.798576354980470","83.407012939453120"
"5944","767068","Lachhipur","Orisa","20.924171447753906","83.686195373535160"
"5945","768001","Sakhigopinath","Orisa","21.466447830200195","83.978820800781250"
"5946","768004","Ainthapali","Orisa","21.485641479492188","83.983467102050780"
"5947","768016","Hirakud","Orisa","21.531068801879883","83.897384643554690"
"5948","768018","Engineering College","Orisa","21.496862411499023","83.905136108398440"
"5949","768031","Ambabhona","Orisa","21.577928543090820","83.475875854492190"
"5950","768034","Ghess","Orisa","21.191181182861328","83.283988952636720"
"5951","768036","Rajbersambar","Orisa","21.011999130249023","83.111747741699220"
"5952","768037","Gaisilet","Orisa","20.963844299316406","83.320312500000000"
"5953","768039","Paikamal","Orisa","20.924724578857422","82.812667846679690"
"5954","768040","Tora","Orisa","21.343355178833008","83.666320800781250"
"5955","768048","Laumunda","Orisa","21.076492309570312","83.390357971191400"
"5956","768049","Jamla","Orisa","21.014461517333984","83.177139282226560"
"5957","768050","Mandosil","Orisa","20.934650421142578","82.820243835449220"
"5958","768053","Lakhanpur","Orisa","21.641134262084960","83.610847473144530"
"5959","768102","Larambha","Orisa","21.329595565795900","83.838180541992190"
"5960","768106","Rairakhole","Orisa","21.160737991333008","84.281311035156250"
"5961","768107","Jamankira","Orisa","21.593181610107422","84.340629577636720"
"5962","768108","Deogarh","Orisa","21.574098587036133","84.751625061035160"
"5963","768111","Godbhaga","Orisa","21.413335800170900","83.854331970214840"
"5964","768113","Dhama","Orisa","21.258316040039062","83.922500610351560"
"5965","768115","Gondturum","Orisa","21.200754165649414","83.849159240722660"
"5966","768117","Charmal","Orisa","21.114948272705078","84.210922241210940"
"5967","768118","Naktideul","Orisa","21.248514175415040","84.534011840820310"
"5968","768201","Sarbahal","Orisa","21.861524581909180","84.019279479980470"
"5969","768203","Kalimandir Road (Jharsu-3","Orisa","21.877397537231445","84.024291992187500"
"5970","768204","O M P Line (Jharsuguda-4)","Orisa","21.913957595825195","84.011428833007810"
"5971","768214","Loida","Orisa","21.710601806640625","84.218795776367190"
"5972","768215","Laikera","Orisa","21.908683776855470","84.241264343261720"
"5973","768219","Ainlapada","Orisa","21.760437011718750","83.774024963378900"
"5974","768220","Bagdehi","Orisa","21.902488708496094","84.102325439453120"
"5975","768224","Garposh","Orisa","22.130657196044922","84.424179077148440"
"5976","768226","Panchagaon","Orisa","21.729104995727540","83.518257141113280"
"5977","769001","Main Road","Orisa","22.227758407592773","84.859336853027340"
"5978","769004","Panposh","Orisa","22.228000640869140","84.817955017089840"
"5979","769012","Uditnagar (Rourkela-12)","Orisa","22.228223800659180","84.840866088867190"
"5980","769013","Railway Colony (Rourkela1","Orisa","22.231380462646484","84.855850219726560"
"5981","769014","Saktinagar (Rourkela-14)","Orisa","22.257867813110350","84.888092041015620"
"5982","769015","Quairry Siding Panposh","Orisa","22.241735458374023","84.812004089355470"
"5983","769041","Vedvyas","Orisa","22.237522125244140","84.778656005859380"
"5984","770001","Dengibhadi","Orisa","22.119064331054688","84.037452697753900"
"5985","770011","Ujaplur","Orisa","22.066312789916992","83.948181152343750"
"5986","770012","Lephripara","Orisa","22.066244125366210","83.885215759277340"
"5987","770013","Hemgir","Orisa","21.948053359985350","83.701286315917970"
"5988","770017","Rajgangpur","Orisa","22.194395065307617","84.586891174316400"
"5989","770020","Sankara","Orisa","22.175483703613280","84.052124023437500"
"5990","770021","Sargipalli","Orisa","22.055334091186523","83.912811279296880"
"5991","770031","Turmura","Orisa","22.219728469848633","84.756423950195310"
"5992","770032","Loco Colony","Orisa","22.234682083129883","84.935508728027340"
"5993","770033","C T D Bureau","Orisa","22.300886154174805","84.548973083496100"
"5994","770034","Kansbahal","Orisa","22.228683471679688","84.666877746582030"
"5995","770037","Lathikata","Orisa","22.134471893310547","84.877197265625000"
"5996","770040","Lahunipara","Orisa","21.872592926025390","84.941268920898440"
"5997","770047","Hatibari (Rourkela)","Orisa","22.401178359985350","84.848884582519530"
"5998","770072","Zink Nagar","Orisa","21.971649169921875","83.912826538085940"
"5999","770074","Talsara","Orisa","22.429111480712890","84.069458007812500"
"6000","770075","Hemgir Road","Orisa","21.948976516723633","83.700584411621100"
"6001","781001","Fancy Bazar","Assam","26.178625106811523","91.748336791992190"
"6002","781003","Chenikuthi","Assam","26.178018569946290","91.770317077636720"
"6003","781004","Kharguli","Assam","26.189012527465820","91.760017395019530"
"6004","781005","Dispur","Assam","26.159801483154297","91.775238037109380"
"6005","781006","Assam Sachivalaya","Assam","26.146759033203125","91.789085388183600"
"6006","781007","Ulubari","Assam","26.171735763549805","91.762428283691400"
"6007","781008","Rehabari (Gh)","Assam","26.173685073852540","91.748176574707030"
"6008","781010","Kamakhya","Assam","26.163320541381836","91.701171875000000"
"6009","781011","Maligaon Rly Hd Qrs","Assam","26.155740737915040","91.700492858886720"
"6010","781012","Pandu","Assam","26.160041809082030","91.684761047363280"
"6011","781013","Jhalukbari","Assam","26.124868392944336","91.605018615722660"
"6012","781014","Guwahati University H O","Assam","26.152240753173828","91.657653808593750"
"6013","781015","Guwahati Airport","Assam","26.180597305297850","91.753944396972660"
"6014","781016","Gopinath Nagar","Assam","26.164302825927734","91.746475219726560"
"6015","781017","Azara","Assam","26.133798599243164","91.617713928222660"
"6016","781019","Kahilipara","Assam","26.132322311401367","91.760032653808600"
"6017","781020","Noonmati","Assam","26.184873580932617","91.803504943847660"
"6018","781021","Bamunimaidan","Assam","26.183607101440430","91.784767150878900"
"6019","781022","Khanapara","Assam","26.131719589233400","91.808189392089840"
"6020","781023","Amerigog","Assam","26.129798889160156","91.830200195312500"
"6021","781025","Ambasi Fatesil","Assam","26.154048919677734","91.731628417968750"
"6022","781026","Narangi","Assam","26.172998428344727","91.831329345703120"
"6023","781030","North Guwahati","Assam","26.252552032470703","91.727630615234380"
"6024","781031","Amingaon","Assam","26.200254440307617","91.694473266601560"
"6025","781037","Panjabari","Assam","26.132886886596680","91.827110290527340"
"6026","781101","Changsari","Assam","26.207201004028320","91.632667541503900"
"6027","781102","Hajo","Assam","26.231086730957030","91.560691833496100"
"6028","781103","Soalkuchi","Assam","26.174406051635742","91.534278869628900"
"6029","781120","Barduar","Assam","25.925521850585938","91.460166931152340"
"6030","781124","Chhaygaon","Assam","26.048152923583984","91.387474060058600"
"6031","781125","Mirza","Assam","26.055889129638672","91.504852294921880"
"6032","781126","Mukalmua","Assam","26.265031814575195","91.378158569335940"
"6033","781127","Nagarbera","Assam","26.093967437744140","91.034484863281250"
"6034","781128","Palasbari","Assam","26.094675064086914","91.536697387695310"
"6035","781131","Rani","Assam","26.044307708740234","91.586250305175780"
"6036","781132","Rampur","Assam","26.103481292724610","91.474609375000000"
"6037","781135","Singra","Assam","25.938932418823242","91.141731262207030"
"6038","781136","Paschimsamaria","Assam","26.081193923950195","91.140914916992190"
"6039","781171","Maukhuli","Assam","26.169073104858400","91.756996154785160"
"6040","781301","Barpeta H O","Assam","26.325916290283203","90.990798950195310"
"6041","781302","Baharihat","Assam","26.252416610717773","91.137947082519530"
"6042","781303","Banagram","Assam","26.353008270263672","91.294227600097660"
"6043","781304","Belsore","Assam","26.374477386474610","91.346771240234380"
"6044","781305","Chenga","Assam","26.277246475219727","91.157379150390620"
"6045","781306","Chamata","Assam","26.405967712402344","91.345008850097660"
"6046","781307","Sarthebari","Assam","26.349388122558594","91.253265380859380"
"6047","781308","Mandia","Assam","26.250360488891600","90.899429321289060"
"6048","781310","Jagara","Assam","26.358757019042970","91.365730285644530"
"6049","781314","Santinagar","Assam","26.331863403320312","90.961853027343750"
"6050","781315","Barpeta Road","Assam","26.478507995605470","90.983970642089840"
"6051","781316","Howli","Assam","26.419996261596680","90.970520019531250"
"6052","781317","Sorbhog","Assam","26.491209030151367","90.893989562988280"
"6053","781318","Sarupeta","Assam","26.553647994995117","91.087684631347660"
"6054","781319","Kalgachia","Assam","26.356340408325195","90.855346679687500"
"6055","781325","Pathsala","Assam","26.504024505615234","91.141578674316400"
"6056","781326","Patacharkuchi","Assam","26.506662368774414","91.244422912597660"
"6057","781327","Jalaghat","Assam","26.684391021728516","91.214363098144530"
"6058","781328","Bagmara Bazar","Assam","26.626260757446290","91.175682067871100"
"6059","781329","Nityananda","Assam","26.577503204345703","91.207595825195310"
"6060","781330","Kakilabari Farm","Assam","26.703529357910156","91.195236206054690"
